alpha,gb_n_estimators,gb_max_features,gb_max_samples,gb_learning_rate,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
0.0001,25.0,0.85,0.4,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.502492,0.530379,0.530379,0.548824,0.533027,0.533027,709281995940172.5,727484789880802.1,727484789880802.1,101.83,19260817.0,0.527211,0.574423,0.574423
0.0001,25.0,0.4,0.85,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.495919,0.525509,0.525509,0.552438,0.535783,0.535783,580543202410861.5,582377886036706.5,582377886036706.5,61.31,19260817.0,0.508617,0.568134,0.568134
0.0001,100.0,0.85,0.85,0.7,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,0.507059,0.536186,0.536186,0.5463,0.529721,0.529721,696297868209569.2,709387398059310.4,709387398059310.4,1700.33,19260817.0,0.526757,0.563941,0.563941
10.0,25.0,0.4,0.4,0.7,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,0.505843,0.532051,0.532051,0.546973,0.532077,0.532077,696276507825694.9,708834128478317.8,708834128478317.8,87.09,19260817.0,0.523129,0.560797,0.560797
10.0,25.0,0.4,0.85,0.7,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.507879,0.536754,0.536754,0.545845,0.529397,0.529397,703688170712374.4,714433477937458.0,714433477937458.0,126.3,19260817.0,0.527438,0.563941,0.563941
10.0,25.0,0.4,0.85,0.7,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.506487,0.534484,0.534484,0.546616,0.530692,0.530692,694467464083452.4,708233931357391.9,708233931357391.9,98.83,19260817.0,0.522676,0.56499,0.56499
10.0,100.0,0.4,0.4,0.7,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.506556,0.535605,0.535605,0.546578,0.530053,0.530053,697193875219397.5,710231391611630.8,710231391611630.8,1254.96,19260817.0,0.524036,0.560797,0.560797
10.0,100.0,0.4,0.4,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.506999,0.534918,0.534918,0.546333,0.530445,0.530445,717575650399116.6,730308304906831.5,730308304906831.5,1544.85,19260817.0,0.529932,0.575472,0.575472
10.0,100.0,0.85,0.4,0.7,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.506538,0.535273,0.535273,0.546588,0.530242,0.530242,702111301576308.5,715919298075136.2,715919298075136.2,1400.17,19260817.0,0.521769,0.56499,0.56499
10.0,100.0,0.85,0.4,0.1,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.507496,0.536818,0.536818,0.546057,0.52936,0.52936,699559513087402.8,710859375942592.6,710859375942592.6,1850.32,19260817.0,0.522902,0.563941,0.563941
