n_hidden_layers,alpha,learning_rate_init,activation,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,max_iter,learning_rate,batch_size,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
5.0,0.1,0.0001,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,-0.0,-0.0,-0.0,0.778096,0.777813,0.777813,174347931465.44846,174367449563.06256,174367449563.06256,25.42,19260817.0,1000.0,adaptive,auto,0.235374,0.21174,0.21174
5.0,1e-08,0.1,relu,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,-0.005674,-0.005678,-0.005678,0.780301,0.780018,0.780018,229256171294838.5,229281836321618.0,229281836321618.0,34.68,19260817.0,1000.0,adaptive,auto,0.235374,0.21174,0.21174
1.0,0.1,0.0001,relu,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,0.569531,0.571941,0.571941,0.51051,0.508894,0.508894,486172306221977.25,526832695286709.06,526832695286709.06,97.46,19260817.0,1000.0,adaptive,auto,0.551701,0.572327,0.572327
5.0,0.1,0.1,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,-0.001337,-0.001338,-0.001338,0.778616,0.778333,0.778333,111280221303316.64,111292679026236.95,111292679026236.95,36.3,19260817.0,1000.0,adaptive,auto,0.235374,0.21174,0.21174
1.0,0.1,0.0001,relu,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,0.541741,0.571107,0.571107,0.526731,0.509389,0.509389,455822342144353.25,477389312247605.1,477389312247605.1,24.21,19260817.0,1000.0,adaptive,auto,0.536281,0.580713,0.580713
1.0,1e-08,0.1,relu,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.493139,0.521483,0.521483,0.553959,0.538052,0.538052,519781040479405.3,532628176003561.7,532628176003561.7,14.51,19260817.0,1000.0,adaptive,auto,0.535828,0.519916,0.519916
1.0,0.1,0.0001,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.482967,0.509223,0.509223,0.55949,0.544901,0.544901,630482233050330.9,634742559728867.6,634742559728867.6,22.69,19260817.0,1000.0,adaptive,auto,0.507937,0.568134,0.568134
1.0,0.1,0.0001,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For']",0.9470934756360015,0.517873,0.538355,0.538355,0.540274,0.528481,0.528481,621367999272366.6,641902056790151.9,641902056790151.9,33.95,19260817.0,1000.0,adaptive,auto,0.522676,0.579665,0.579665
1.0,0.1,0.0001,logistic,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers']",0.9888737229850916,0.520905,0.539259,0.539259,0.538572,0.527963,0.527963,631735242371924.9,652203339795463.6,652203339795463.6,44.94,19260817.0,1000.0,adaptive,auto,0.531519,0.555556,0.555556
5.0,1e-08,0.0001,relu,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.672765,0.489402,0.489402,0.445106,0.555795,0.555795,336948943328824.56,483353035452473.8,483353035452473.8,991.61,19260817.0,1000.0,adaptive,auto,0.581633,0.546122,0.546122
