n_estimators,max_depth,subsample,max_features,ccp_alpha,learning_rate,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,Train Brownlow Metric,Val Brownlow Metric,Test Brownlow Metric
100.0,24.0,0.85,0.4,0.0001,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,0.614834,0.474221,0.474221,0.4829,0.563997,0.563997,383477030903296.06,497497181868456.0,497497181868456.0,546.38,19260817.0,0.575057,0.519916,0.519916
100.0,3.0,0.85,0.85,0.0001,0.001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles', 'Clangers', 'Uncontested Marks', 'Marks Outside 50', 'Kicks', 'Turnovers', 'Marks', 'Time On Ground %', 'Effective Disposals', 'HomeAway', 'Winloss']",0.9999999999999998,0.085256,0.089887,0.089887,0.744189,0.742033,0.742033,26839492383662.914,27684069212132.5,27684069212132.5,154.2,19260817.0,0.504762,0.579665,0.579665
100.0,3.0,0.4,0.4,0.0001,0.001,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.055995,0.061548,0.061548,0.755997,0.753497,0.753497,35596558653936.52,37635197451758.42,37635197451758.42,8.24,19260817.0,0.51542,0.540881,0.540881
25.0,24.0,0.85,0.85,0.1,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.416182,0.441977,0.441977,0.594528,0.581034,0.581034,191599972114726.9,197133127122967.6,197133127122967.6,38.33,19260817.0,0.502041,0.542977,0.542977
100.0,3.0,0.85,0.4,0.1,0.001,"['AFLCA_votes', 'Disposals', 'Contested Possessions']",0.7562403677250018,0.017097,0.017915,0.017915,0.771416,0.770814,0.770814,4406793539772.393,4508334162344.687,4508334162344.687,8.93,19260817.0,0.514739,0.552411,0.552411
100.0,24.0,0.4,0.4,0.1,0.001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,0.020153,0.021072,0.021072,0.770216,0.769575,0.769575,5586232622271.775,5687810054551.189,5687810054551.189,242.98,19260817.0,0.514739,0.552411,0.552411
25.0,3.0,0.85,0.85,0.0001,1.0,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters']",0.919120335160259,0.562259,0.548097,0.548097,0.514804,0.522875,0.522875,428932498442514.2,478715406723378.9,478715406723378.9,16.35,19260817.0,0.545578,0.577568,0.577568
100.0,24.0,0.85,0.85,0.1,0.001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50']",0.8299825644950556,0.055761,0.058184,0.058184,0.756091,0.754846,0.754846,14780034251689.86,15013780319066.07,15013780319066.07,612.58,19260817.0,0.514739,0.552411,0.552411
25.0,24.0,0.4,0.85,0.1,0.001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces']",0.8858545003433346,0.015234,0.015935,0.015935,0.772147,0.771591,0.771591,3986097854034.458,4065314744156.2656,4065314744156.2656,50.49,19260817.0,0.514739,0.552411,0.552411
25.0,3.0,0.85,0.4,0.0001,0.001,"['AFLCA_votes', 'Disposals', 'Contested Possessions', 'Goals', 'Centre Clearances', 'Intercepts', 'Clearances', 'Marks Inside 50', 'Hitouts', 'Handballs', 'Behinds', 'Contested Marks', 'Bounces', 'Ineffective Disposals', 'Stoppage Clearances', 'Tackles Inside 50', 'Rebound 50s', 'One Percenters', 'Goal Assists', 'Uncontested Possessions', 'Frees Agains', 'Inside 50s', 'Frees For', 'Metres Gained', 'Score Involvements', 'Behind Assists', 'Tackles Outside 50', 'Tackles']",0.9712453380319708,0.01589,0.017111,0.017111,0.77189,0.77113,0.77113,8225119743713.291,8735957982347.033,8735957982347.033,13.57,19260817.0,0.530839,0.550314,0.550314
